"id","series_id","product_type","pixel","pixel_configuration","driving_mode","brightness","module_resolution","module_size","cabinet_size","price1","price2","stock","spare_module_price"
"169","22","1","P1.56 GOB(1000x500)","SMD1212","1/40 duty","600","160x160","250x250","1000x500","","1194.1",,"56.8"
"170","22","1","P1.56 GOB(750x500)","SMD1212","1/40 duty","600","160x160","250x250","750x500","","1294.8",,"56.8"
"171","22","1","P1.56 GOB(500x500)","SMD1212","1/40 duty","600","160x160","250x250","500x500","","1417.6",,"56.8"
"172","22","1","P1.56 GOB(1000x250)","SMD1212","1/40 duty","600","160x160","250x250","1000x250","","1287.9",,"56.8"
"173","22","1","P1.56 GOB(750x250)","SMD1212","1/40 duty","600","160x160","250x250","750x250","","1481.4",,"56.8"
"174","22","1","P1.56 GOB(500x250)","SMD1212","1/40 duty","600","160x160","250x250","500x250","","1704.2",,"56.8"
"175","22","1","P1.95 GOB(1000x500)","SMD1515","1/32 duty","750","128x128","250x250","1000x500","","878.5",,"37"
"176","22","1","P1.95 GOB(750x500)","SMD1515","1/32 duty","750","128x128","250x250","750x500","","967.2",,"37"
"177","22","1","P1.95 GOB(500x500)","SMD1515","1/32 duty","750","128x128","250x250","500x500","","1096.9",,"37"
"178","22","1","P1.95 GOB(1000x250)","SMD1515","1/32 duty","750","128x128","250x250","1000x250","","950.2",,"37"
"179","22","1","P1.95 GOB(750x250)","SMD1515","1/32 duty","750","128x128","250x250","750x250","","1117.4",,"37"
"180","22","1","P1.95 GOB(500x250)","SMD1515","1/32 duty","750","128x128","250x250","500x250","","1376.6",,"37"
"181","22","1","P2.5(1000x500)","SMD1515","1/25 duty","750","100x100","250x250","1000x500","","644.8",,"22.7"
"182","22","1","P2.5(750x500)","SMD1515","1/25 duty","750","100x100","250x250","750x500","","744.4",,"22.7"
"183","22","1","P2.5(500x500)","SMD1515","1/25 duty","750","100x100","250x250","500x500","","871.7",,"22.7"
"184","22","1","P2.5(1000x250)","SMD1515","1/25 duty","750","100x100","250x250","1000x250","","735.2",,"22.7"
"185","22","1","P2.5(750x250)","SMD1515","1/25 duty","750","100x100","250x250","750x250","","899",,"22.7"
"186","22","1","P2.5(500x250)","SMD1515","1/25 duty","750","100x100","250x250","500x250","","1158.3",,"22.7"
"187","22","1","P2.6(1000x500)","SMD1515","1/32 duty","750","96x96","250x250","1000x500","","588.5",,"19.1"
"188","22","1","P2.6(750x500)","SMD1515","1/32 duty","750","96x96","250x250","750x500","","694.3",,"19.1"
"189","22","1","P2.6(500x500)","SMD1515","1/32 duty","750","96x96","250x250","500x500","","817.1",,"19.1"
"190","22","1","P2.6(1000x250)","SMD1515","1/32 duty","750","96x96","250x250","1000x250","","678.9",,"19.1"
"191","22","1","P2.6(750x250)","SMD1515","1/32 duty","750","96x96","250x250","750x250","","844.4",,"19.1"
"192","22","1","P2.6(500x250)","SMD1515","1/32 duty","750","96x96","250x250","500x250","","1103.7",,"19.1"
"193","22","1","P2.97(1000x500)","SMD1515","1/28 duty","750","84x84","250x250","1000x500","","571.5",,"17.9"
"194","22","1","P2.97(750x500)","SMD1515","1/28 duty","750","84x84","250x250","750x500","","671.6",,"17.9"
"195","22","1","P2.97(500x500)","SMD1515","1/28 duty","750","84x84","250x250","500x500","","796.6",,"17.9"
"196","22","1","P2.97(1000x250)","SMD1515","1/28 duty","750","84x84","250x250","1000x250","","665.3",,"17.9"
"197","22","1","P2.97(750x250)","SMD1515","1/28 duty","750","84x84","250x250","750x250","","826.3",,"17.9"
"198","22","1","P2.97(500x250)","SMD1515","1/28 duty","750","84x84","250x250","500x250","","1090.1",,"17.9"
"199","22","1","P3.91(1000x500)","SMD2020","1/16 duty","750","64x64","250x250","1000x500","","520.3",,"14.7"
"200","22","1","P3.91(750x500)","SMD2020","1/16 duty","750","64x64","250x250","750x500","","617",,"14.7"
"201","22","1","P3.91(500x500)","SMD2020","1/16 duty","750","64x64","250x250","500x500","","748.9",,"14.7"
"202","22","1","P3.91(1000x250)","SMD2020","1/16 duty","750","64x64","250x250","1000x250","","605.6",,"14.7"
"203","22","1","P3.91(750x250)","SMD2020","1/16 duty","750","64x64","250x250","750x250","","771.7",,"14.7"
"204","22","1","P3.91(500x250)","SMD2020","1/16 duty","750","64x64","250x250","500x250","","1021.8",,"14.7"
"205","23","2","P4.44(960x960)","SMD1921","1/9 duty","6000","108x72","480x320","960x960","","769.4",,"80.2"
"206","23","2","P5.71(960x960)","SMD2727","1/7 duty","6500","84x56","480x320","960x960","","667",,"64.8"
"207","23","2","P6.67(960x960)","SMD2727","1/6 duty","6000","72x48","480x320","960x960","","601.8",,"56.3"
"208","23","2","P8(960x960)","SMD2727","1/4 duty","6500","60x40","480x320","960x960","","576.6",,"52"
"209","23","2","P10(960x960)","SMD2727","1/2 duty","6500","48x32","480x320","960x960","","547.6",,"47.8"
"210","23","2","P4.44(640x960)","SMD1921","1/9 duty","6000","9x72","40x320","640x960","","1837.5",,"13.8"
"211","23","2","P5.71(640x960)","SMD2727","1/7 duty","6500","7x56","40x320","640x960","","1645.7",,"11.1"
"212","23","2","P6.67(640x960)","SMD2727","1/6 duty","6000","6x48","40x320","640x960","","1592.8",,"10.9"
"213","23","2","P8(640x960)","SMD2727","1/4 duty","6500","5x40","40x320","640x960","","1574.4",,"9.7"
"214","23","2","P10(640x960)","SMD2727","1/2 duty","6500","4x32","40x320","640x960","","1546.7",,"9.4"
"215","24","2","P4.44(960x960)","SMD1921","1/9 duty","6000","108x72","480x320","960x960","","797.5",,"81.9"
"216","24","2","P5.71(960x960)","SMD2727","1/7 duty","6500","84x56","480x320","960x960","","749.1",,"76.3"
"217","24","2","P6.67(960x960)","SMD2727","1/6 duty","6000","72x48","480x320","960x960","","651.3",,"60.9"
"218","24","2","P8(960x960)","SMD2727","1/4 duty","6500","60x40","480x320","960x960","","622.1",,"57.1"
"219","24","2","P10(960x960)","SMD2727","1/2 duty","6500","48x32","480x320","960x960","","596.9",,"52.5"
"220","24","2","P5.71(640x960)","SMD2727","1/7 duty","6500","7x56","40x320","640x960","","1645.7",,"11.1"
"221","24","2","P6.67(640x960)","SMD2727","1/6 duty","6000","6x48","40x320","640x960","","1592.8",,"10.9"
"222","24","2","P8(640x960)","SMD2727","1/4 duty","6500","5x40","40x320","640x960","","1574.4",,"9.7"
"223","24","2","P10(640x960)","SMD2727","1/2 duty","6500","4x32","40x320","640x960","","1546.7",,"9.4"
"224","25","2","P2.97(1000x1000)","SMD1415","1/21 duty","5000","168x84","500x250","1000x1000","","878.9",,"72.8"
"225","25","2","P3.91(1000x1000)","SMD1921","1/16 duty","5000","128x64","500x250","1000x1000","","641.9",,"50.8"
"226","25","2","P3.91(1000x1000)","SMD1921","1/8 duty","6500","128x64","500x250","1000x1000","","700.9",,"58.9"
"227","25","2","P4.81(1000x1000)","SMD2727","1/7 duty","6000","104x52","500x250","1000x1000","","668.4",,"49.8"
"228","25","2","P6.25(1000x1000)","SMD2727","1/5 duty","6500","80x40","500x250","1000x1000","","621.5",,"50"
"229","25","2","P7.81(1000x1000)","SMD2727","1/4 duty","6500","64x32","500x250","1000x1000","","572.3",,"43.8"
"230","25","2","P10.41(1000x1000)","SMD2727","1/2 duty","6500","48x24","500x250","1000x1000","","543.7",,"40.3"
"231","25","2","P2.97(625x1000)","SMD1415","1/21 duty","5000","14x84","41.66x250","625x1000","","1619.9",,"11.1"
"232","25","2","P3.91(562.5x1000)","SMD1921","1/16 duty","5000","16x64","62.5x250","562.5x1000","","1246.7",,"10.5"
"233","25","2","P3.91(562.5x1000)","SMD1921","1/8 duty","6500","16x64","62.5x250","562.5x1000","","1272.6",,"11.4"
"234","25","2","P4.81(562.5x1000)","SMD2727","1/7 duty","6000","13x52","62.5x250","562.5x1000","","1142.8",,"9"
"235","25","2","P6.25(562.5x1000)","SMD2727","1/5 duty","6500","10x40","62.5x250","562.5x1000","","1151.5",,"9.5"
"236","25","2","P7.81(562.5x1000)","SMD2727","1/4 duty","6500","8x32","62.5x250","562.5x1000","","1093.5",,"8.7"
"237","25","2","P10.42(562.5x1000)","SMD2727","1/2 duty","6500","6x24","62.5x250","562.5x1000","","1049.6",,"7.9"
"238","26","2","P2.97(1000x1000)","SMD1415","1/21 duty","5000","168x84","500x250","1000x1000","","882.6",,"76.6"
"239","26","2","P3.91(1000x1000)(16s)","SMD1921","1/16 duty","5000","128x64","500x250","1000x1000","","676.6",,"50.8"
"240","26","2","P3.91(1000x1000)(8s)","SMD1921","1/8 duty","6500","128x64","500x250","1000x1000","","726.7",,"53.9"
"241","26","2","P4.81(1000x1000)","SMD2727","1/6 duty","5000","104x52","500x250","1000x1000","","600.1",,"41.3"
"242","26","2","P6.25(1000x1000)","SMD2727","1/5 duty","6500","80x40","500x250","1000x1000","","620.6",,"43.8"
"243","26","2","P7.81(1000x1000)","SMD2727","1/4 duty","6500","64x32","500x250","1000x1000","","556.5",,"35.8"
"244","26","2","P10.41(1000x1000)","SMD2727","1/2 duty","6500","48x24","500x250","1000x1000","","510.1",,"30"
"245","26","2","P2.97(625x1000)","SMD1415","1/21 duty","5000","14x84","41.66x250","625x1000","","1619.9",,"11.1"
"246","26","2","P3.91(562.5x1000)(16s)","SMD1921","1/16 duty","5000","16x64","62.5x250","562.5x1000","","1246.7",,"10.5"
"247","26","2","P3.91(562.5x1000)(8s)","SMD1921","1/8 duty","6500","16x64","62.5x250","562.5x1000","","1272.6",,"11.4"
"248","26","2","P4.81(562.5x1000)","SMD2727","1/6 duty","5000","13x52","62.5x250","562.5x1000","","1142.8",,"9"
"249","26","2","P6.25(562.5x1000)","SMD2727","1/5 duty","6500","10x40","62.5x250","562.5x1000","","1151.5",,"9.5"
"250","26","2","P7.81(562.5x1000)","SMD2727","1/4 duty","6500","8x32","62.5x250","562.5x1000","","1093.5",,"8.7"
"251","26","2","P10.42(562.5x1000)","SMD2727","1/2 duty","6500","6x24","62.5x250","562.5x1000","","1049.6",,"7.9"
"252","27","2","P2.5","SMD1415","1/16 duty","5000","128x64","320x160","960x960","","753.3",,"28.2 "
"253","27","2","P3.076","SMD1415","1/13 duty","5000","104x52","320x160","960x960","","584.4",,"19.6 "
"254","27","2","P4","SMD1921","1/10 duty","5500","80x40","320x160","960x960","","446.5",,"12.5 "
"255","27","2","P5","SMD1921","1/8 duty","5500","64x32","320x160","960x960","","391.4",,"9.7 "
"256","27","2","P6.67","SMD3535","1/6 duty","6000","48x24","320x160","960x960","","425.8",,"11.5 "
"257","27","2","P8","SMD3535","1/5 duty","5500","40x20 ","320x160","960x960","","381",,"9.2 "
"258","27","2","P10(2s)","SMD3535","1/2 duty","5800","32x16","320x160","960x960","","367.2",,"8.5 "
"259","27","2","P10(4s)","DIP346 1R1G1B","1/4 duty","8000","32x16","320x160","960x960","","667.1",,"23.8 "
"260","28","1","P1.25 GOB","SMD1010","1/64 duty","600","256x128","320x160","640x1920","1867.8","",,"53.8 "
"261","28","1","P1.53 GOB","SMD1212","1/52 duty","600","208x104","320x160","640x1920","1394.2","",,"34.4 "
"262","28","1","P1.86 GOB","SMD1515","1/43 duty","600","172x86","320x160","640x1920","1127.2","",,"23.5 "
"263","28","1","P2 GOB","SMD1515","1/40 duty","700","160x80","320x160","640x1920","1097.1","",,"22.2 "
"264","28","1","P2.5 GOB","SMD2020","1/32 duty","800","128x64","320x160","640x1920","1002.3","",,"15.2 "
"265","28","1","P1.25 COB","Flip chip COB","1/64 duty","600","256x128","320x160","640x1920","2388.8","",,"75.2 "
"266","28","1","P1.53 COB","Flip chip COB","1/52 duty","600","208x104","320x160","640x1920","1643.9","",,"44.6 "
"267","28","1","P1.86 COB","Flip chip COB","1/43 duty","600","172x86","320x160","640x1920","1407.1","",,"34.9 "
"268","29","1","P1.25 GOB","SMD1010","1/64 duty","600","256x128","320x160","640x1920","1910.9","",,"53.8 "
"269","29","1","P1.53 GOB","SMD1212","1/52 duty","600","208x104","320x160","640x1920","1437.2","",,"34.4 "
"270","29","1","P1.86 GOB","SMD1515","1/43 duty","600","172x86","320x160","640x1920","1170.3","",,"23.5 "
"271","29","1","P2 GOB","SMD1515","1/40 duty","700","160x80","320x160","640x1920","1140.1","",,"22.2 "
"272","29","1","P2.5 GOB","SMD2020","1/32 duty","800","128x64","320x160","640x1920","1045.4","",,"15.2 "
"273","29","1","P1.25 COB","Flip chip COB","1/64 duty","600","256x128","320x160","640x1920","2431.9","",,"75.2 "
"274","29","1","P1.53 COB","Flip chip COB","1/52 duty","600","208x104","320x160","640x1920","1687","",,"44.6 "
"275","29","1","P1.86 COB","Flip chip COB","1/43 duty","600","172x86","320x160","640x1920","1450.2","",,"34.9 "
"276","30","1","P1.25 GOB","SMD1010","1/64 duty","600","256x128","320x160","2560x1920","8135.3","",,"61.5"
"277","30","1","P1.56 GOB","SMD1212","1/51 duty","600","204x102","320x160","2560x1920","5982.4","",,"42.1"
"278","30","1","P1.86 GOB","SMD1515","1/43 duty","600","172x86","320x160","2560x1920","4923.5","",,"33.4"
"279","31","2","P1.86","SMD1415","1/13 duty","5000","104x52","320x160","640x1920","3069.5","",,""
"280","31","2","P2","SMD1010","1/20 duty","5000","160x80","320x160","640x1920","1997.3","",,""
"281","31","2","P2.5","SMD1415","1/16 duty","5000","128x64","320x160","640x1920","1312.7","",,""
"282","32","2","P5(SMD1921)","SMD1921","1/8 duty","5500","64x32","320x160","960x960","","512.4",,"12.7 "
"283","32","2","P5(SMD2727)","SMD2727","1/8 duty","6000","64x32","320x160","960x960","","628",,"18.5 "
"284","32","2","P6.67","SMD3535","1/6 duty","6000","48x24","320x160","960x960","","540.4",,"14.1 "
"285","32","2","P8","SMD3535","1/5 duty","5500","40x20 ","320x160","960x960","","494.8",,"11.8 "
"286","32","2","P10","SMD3535","1/2 duty","5800","32x16","320x160","960x960","","480.8",,"11.1 "
"287","33","2","P6.67","SMD2727","1/6 duty","6500","60x45","400x300","1600x900","","1274.6",,"82.2"
"288","33","2","P8.33","SMD3535","1/4 duty","6500","48x36","400x300","1600x900","","1164.3",,"68.6"
"289","33","2","P10","SMD3535","1/3 duty","6500","40x30","400x300","1600x900","","1119.2",,"68.2"
"290","34","2","P3.91(4000CD/m2)","2121","1/1 duty","4000","256x64","1000x250","","2170.9","",,""
"291","34","1","P3.91(3500CD/m2)","2121","1/1 duty","3500","306x64","1200x250","","2170.9","",,""
"292","34","1","P3.91(1500CD/m2)","2121","1/1 duty","1500","384x64","1500x250","","2260.6","",,""
"293","34","1","P6.25","2121","1/1 duty","4000","125x50","1000x250","","1148.2","",,""
"294","34","1","P6.25","2121","1/1 duty","3500","100x40","1200x250","","1148.2","",,""
"295","34","1","P6.25","2121","1/1 duty","1500","50x20","1250x250","","1237.9","",,""
"296","34","1","P10.42","2121","1/1 duty","4500","96x24","1000x250","","825.3","",,""
"297","34","1","P10.42","2121","1/1 duty","2000","144x24","1500x250","","897.1","",,""
"298","35","2","P3.91-7.82(1000x1000)","SMD1921","1/8 duty","4500","128x32","500x250","1000x1000","","593.6",,"67.8"
"299","35","2","P3.91-7.82(1000x750)","SMD1921","1/8 duty","4500","128x32","500x250","1000x750","","593.6",,"67.8"
"300","35","2","P3.91-7.82(1000x500)","SMD1921","1/8 duty","4500","128x32","500x250","1000x500","","619.2",,"67.8"
"301","35","2","P10.4","SMD2727","1/2 duty","5000","48x12","500x125","1000x1000","","580",,"26.7"
"302","35","2","P15.6","SMD2727","1/1 duty","5000","32x16","500x125","1000x1000","","477.6",,"20.3"
"303","36","1","P2.6-5.2","SMD1921","1/12 duty","5000","192x24","500x125","1000x1000","","878.5",,"45.3"
"304","36","1","P2.8-5.6","SMD1921","1/11 duty","5000","176x22","500x125","1000x1000","","716.5",,"35.2"
"305","36","1","P3.91-7.82(8s)","SMD1921","1/8 duty","4500","128x16","500x125","1000x1000","","511.8",,"22.4"
"306","36","1","P3.91-7.82(16s)","SMD1921","1/16 duty","2500","128x16","500x125","1000x1000","","383.8",,"14.4"
"307","36","1","P7.82","SMD1921","1/4 duty","5000","64x16","500x125","1000x1000","","503.2",,"21.9"
"308","37","1","P2.5","SMD1415","1/25 duty","1200","100x100","250x250","500x1000","","1475.6",,"73.4"
"309","37","1","P2.6","SMD1415","1/32 duty","1200","96x96","250x250","500x1000","","1236.8",,"64.8"
"310","37","1","P2.97","SMD1415","1/42 duty","1200","84x84","250x250","500x1000","","1083.2",,"54.6"
"311","37","1","P3.91","SMD1921","1/32 duty","1200","64x64","250x250","500x1000","","827.4",,"42.6"
"312","38","2","P3.91","SMD1921","1/16 duty","3500","64x64","250x250","500x1000","","2482.1",,"122.8"
"313","38","2","P6.25","SMD2727","1/10 duty","4000","40x40","250x250","500x1000","","1936.2",,"88.7"
"314","38","2","P7.8","SMD2727","1/4 duty","4000","32x32","250x250","500x1000","","1833.8",,"81.9"
"315","38","2","P8.9","SMD3535","1/4 duty","4000","28x28","250x250","500x1000","","1799.7",,"80.2"
"316","39","1","P1.56","SMD1212","1/40 duty","600","160x160","250x250","500x500","","2505.9",,"132.4"
"317","39","1","P1.86","SMD1515","1/34 duty","600","134x134","250x250","500x500","","1941.2",,"97.1"
"318","39","1","P1.95","SMD1515","1/32 duty","600","128x128","250x250","500x500","","1852.9",,"91.6"
"319","39","1","P2.5","SMD1515","1/25 duty","600","96x96","250x250","500x500","","1588.2",,"75"
"320","39","1","P2.6","SMD1515","1/32 duty","600","96x96","250x250","500x500","","1482.4",,"68.5"
"321","40","2","P3","SMD1415","1/16 duty","5500","64x64","192x192","768x768","","572.6",,"13.8 "
"322","40","2","P4(8s)","SMD1921","1/8 duty","6000","64x32 ","256x128","768x768","","510.6",,"10.2 "
"323","40","2","P4(10s)","SMD1921","1/10 duty","5500","80x40","320x160","960x960","","601",,"12.5"
"324","40","2","P5","SMD1921","1/8 duty","5500","64x32 ","320x160","960x960","","404.7",,"9.7"
"325","40","2","P6","SMD3535","1/8 duty","6000","32x32 ","192x192","768x768","","477.1",,"9.4"
"326","40","2","P6.67","SMD3535","1/6 duty","6000","48x24 ","320x160","960x960","","439.8",,"11.5"
"327","40","2","P8(4s)","SMD3535","1/4 duty","6000","32x16","256x128","1024x768","","455.2",,"7.6"
"328","40","2","P8(5s)","SMD3535","1/5 duty","5500","40x20 ","320x160","960x960","","394.2",,"9.2"
"329","40","2","P10(2s)","SMD3535","1/2 duty","5800","32x16","320x160","960x960","","380.2",,"8.5 "
"330","40","2","P10(4s)(160x160)","DIP346 ","1/4 duty","8000","16x16","160x160","960x960","","730.6",,"13.1 "
"331","40","2","P10(4s)(320x160)","DIP346 ","1/4 duty","8000","32x16","320x160","960x960","","632.5",,"23.8 "
"332","40","2","P16","DIP346 ","1/1 duty","10000","16x16","256x256","1024x1024","","535.1",,"21.2 "
"333","40","2","P4","SMD1921","1/10 duty","5500","20x40","80x160","640x960","","728.1",,"6.5 "
"334","40","2","P5","SMD1921","1/8 duty","5500","16x32 ","80x160","640x960","","686",,"6.0 "
"335","40","2","P6.67","SMD3535","1/6 duty","5500","12x24 ","80x160","640x960","","672",,"5.8 "
"336","40","2","P8","SMD3535","1/5 duty","5500","10x20","80x160","640x960","","601.9",,"4.9 "
"337","40","2","P10","SMD3535","1/2 duty","5500","8x16 ","80x160","640x960","","559.9",,"4.4 "
